timestamp,date,session_file,session_id,event_type,story,reason,description,snippet,source_path
2026-02-22T07:36:40.346Z,2026-02-22,e3b4cc5b-1a14-4b96-8ea0-6879e8744777.jsonl,e3b4cc5b-1a14-4b96-8ea0-6879e8744777,gateway_timeout,,,Timeout de communication avec le Gateway (agent non joignable à temps),gateway timeout after 60000ms | Gateway target: ws://100.68.46.69:18789 | Source: local tailnet 100.68.46.69 | Config: /root/.openclaw/openclaw.json | Bind:,/root/.openclaw/agents/main/sessions/e3b4cc5b-1a14-4b96-8ea0-6879e8744777.jsonl
2026-02-22T08:59:49.107Z,2026-02-22,6d8ea809-d66e-427c-a406-ee8329d6cd8f.jsonl,6d8ea809-d66e-427c-a406-ee8329d6cd8f,blocked,S015,bootstrap bmad-pm impossible.,Story bloquée (signal explicite),⚠️ BLOCKED S015 bootstrap bmad-pm impossible.,/root/.openclaw/agents/main/sessions/6d8ea809-d66e-427c-a406-ee8329d6cd8f.jsonl
2026-02-22T09:15:24.343Z,2026-02-22,b7c8c2f9-cf8b-486f-86e0-edccb2e51dfd.jsonl,b7c8c2f9-cf8b-486f-86e0-edccb2e51dfd,job_timeout,,,Timeout global du tick d'orchestration avant fin du step,ALERT | RUN1 status=error summary= error=Error: cron: job execution timed out | RUN2 status=error summary= error=Error: cron: job execution timed out | RUN3 status=error summary= error=Error: cron: job,/root/.openclaw/agents/main/sessions/b7c8c2f9-cf8b-486f-86e0-edccb2e51dfd.jsonl
2026-02-22T09:30:25.047Z,2026-02-22,b7c8c2f9-cf8b-486f-86e0-edccb2e51dfd.jsonl,b7c8c2f9-cf8b-486f-86e0-edccb2e51dfd,job_timeout,,,Timeout global du tick d'orchestration avant fin du step,ALERT | RUN1 status=error summary= error=Error: cron: job execution timed out | RUN2 status=error summary= error=Error: cron: job execution timed out | RUN3 status=error summary= error=Error: cron: job,/root/.openclaw/agents/main/sessions/b7c8c2f9-cf8b-486f-86e0-edccb2e51dfd.jsonl
2026-02-22T09:30:59.326Z,2026-02-22,b7c8c2f9-cf8b-486f-86e0-edccb2e51dfd.jsonl,b7c8c2f9-cf8b-486f-86e0-edccb2e51dfd,blocked,S012,intégrité backlog KO (artefact stale S012-ux-audit.json).,Story bloquée (signal explicite),⚠️ BLOCKED S012 intégrité backlog KO (artefact stale S012-ux-audit.json).,/root/.openclaw/agents/main/sessions/b7c8c2f9-cf8b-486f-86e0-edccb2e51dfd.jsonl
2026-02-22T09:32:51.291Z,2026-02-22,85709a4d-fe12-4e40-9e56-13f6cf471748.jsonl,85709a4d-fe12-4e40-9e56-13f6cf471748,job_timeout,,,Timeout global du tick d'orchestration avant fin du step,ALERT | RUN1 status=error summary= error=Error: cron: job execution timed out | RUN2 status=error summary= error=Error: cron: job execution timed out | RUN3 status=error summary= error=Error: cron: job,/root/.openclaw/agents/main/sessions/85709a4d-fe12-4e40-9e56-13f6cf471748.jsonl
2026-02-22T09:47:51.338Z,2026-02-22,85709a4d-fe12-4e40-9e56-13f6cf471748.jsonl,85709a4d-fe12-4e40-9e56-13f6cf471748,job_timeout,,,Timeout global du tick d'orchestration avant fin du step,ALERT | RUN1 status=error summary= error=Error: cron: job execution timed out | RUN2 status=error summary= error=Error: cron: job execution timed out | RUN3 status=error summary= error=Error: cron: job,/root/.openclaw/agents/main/sessions/85709a4d-fe12-4e40-9e56-13f6cf471748.jsonl
2026-02-22T10:02:56.670Z,2026-02-22,85709a4d-fe12-4e40-9e56-13f6cf471748.jsonl,85709a4d-fe12-4e40-9e56-13f6cf471748,job_timeout,,,Timeout global du tick d'orchestration avant fin du step,ALERT | RUN1 status=error summary= error=Error: cron: job execution timed out | RUN2 status=error summary= error=Error: cron: job execution timed out | RUN3 status=error summary= error=Error: cron: job,/root/.openclaw/agents/main/sessions/85709a4d-fe12-4e40-9e56-13f6cf471748.jsonl
2026-02-22T10:14:49.866Z,2026-02-22,c5582881-0795-43ef-869e-c4bbebda83d5.jsonl,c5582881-0795-43ef-869e-c4bbebda83d5,job_timeout,,,Timeout global du tick d'orchestration avant fin du step,ALERT | RUN1 status=error summary= error=Error: cron: job execution timed out | RUN2 status=error summary= error=Error: cron: job execution timed out | RUN3 status=error summary= error=Error: cron: job,/root/.openclaw/agents/main/sessions/c5582881-0795-43ef-869e-c4bbebda83d5.jsonl
2026-02-22T10:16:11.008Z,2026-02-22,c5582881-0795-43ef-869e-c4bbebda83d5.jsonl,c5582881-0795-43ef-869e-c4bbebda83d5,job_timeout,,,Timeout global du tick d'orchestration avant fin du step,"|         ""lastStatus"": ""error"", |         ""lastDurationMs"": 600009, |         ""consecutiveErrors"": 5, |         ""lastError"": ""Error: cron: job execution timed out"" |       } |     } |   ] | }",/root/.openclaw/agents/main/sessions/c5582881-0795-43ef-869e-c4bbebda83d5.jsonl
